date,년월,품목,그룹,레벨,수출액_억불,YoY_증감률_pct
2018-01-01,2018-01,메모리,메모리,대분류,68.5,67.9
2018-01-01,2018-01,메모리 D램,메모리,세부,31.2,77.4
2018-01-01,2018-01,메모리 MCP,메모리,세부,24.8,112.2
2018-01-01,2018-01,메모리 낸드,메모리,세부,5.6,86.3
2018-01-01,2018-01,반도체,반도체 합계,합계,96.8,53.2
2018-01-01,2018-01,시스템 반도체,시스템반도체,대분류,23.1,25.3
2018-02-01,2018-02,개별소자,개별소자,대분류,4.8,13.1
2018-02-01,2018-02,디스플레이 패널,디스플레이,별도,16.4,-22.4
2018-02-01,2018-02,메모리,메모리,대분류,65.4,56.1
2018-02-01,2018-02,메모리 D램,메모리,세부,29.9,68.9
2018-02-01,2018-02,메모리 MCP,메모리,세부,21.8,74.4
2018-02-01,2018-02,메모리 낸드,메모리,세부,6.3,110.3
2018-02-01,2018-02,반도체,반도체 합계,합계,90.0,40.7
2018-02-01,2018-02,시스템 반도체,시스템반도체,대분류,19.9,11.1
2018-03-01,2018-03,개별소자,개별소자,대분류,5.5,16.6
2018-03-01,2018-03,디스플레이 패널,디스플레이,별도,19.6,-16.5
2018-03-01,2018-03,메모리,메모리,대분류,80.4,63.0
2018-03-01,2018-03,메모리 D램,메모리,세부,36.2,81.0
2018-03-01,2018-03,메모리 MCP,메모리,세부,28.1,73.4
2018-03-01,2018-03,메모리 낸드,메모리,세부,7.1,109.1
2018-03-01,2018-03,반도체,반도체 합계,합계,108.0,44.2
2018-03-01,2018-03,시스템 반도체,시스템반도체,대분류,22.2,6.2
2018-04-01,2018-04,개별소자,개별소자,대분류,5.2,15.2
2018-04-01,2018-04,디스플레이 패널,디스플레이,별도,18.0,-16.3
2018-04-01,2018-04,메모리,메모리,대분류,69.9,47.1
2018-04-01,2018-04,메모리 D램,메모리,세부,37.1,70.2
2018-04-01,2018-04,메모리 MCP,메모리,세부,19.6,46.0
2018-04-01,2018-04,메모리 낸드,메모리,세부,5.7,73.1
2018-04-01,2018-04,반도체,반도체 합계,합계,97.8,37.0
2018-04-01,2018-04,시스템 반도체,시스템반도체,대분류,22.7,16.5
2018-05-01,2018-05,개별소자,개별소자,대분류,5.2,14.8
2018-05-01,2018-05,디스플레이 패널,디스플레이,별도,18.1,-21.0
2018-05-01,2018-05,메모리,메모리,대분류,82.1,67.5
2018-05-01,2018-05,메모리 D램,메모리,세부,40.7,73.3
2018-05-01,2018-05,메모리 MCP,메모리,세부,17.3,20.1
2018-05-01,2018-05,메모리 낸드,메모리,세부,7.0,127.3
2018-05-01,2018-05,반도체,반도체 합계,합계,108.4,44.4
2018-05-01,2018-05,시스템 반도체,시스템반도체,대분류,21.2,-1.9
2018-06-01,2018-06,개별소자,개별소자,대분류,5.5,14.1
2018-06-01,2018-06,디스플레이 패널,디스플레이,별도,19.0,-10.5
2018-06-01,2018-06,메모리,메모리,대분류,85.0,54.1
2018-06-01,2018-06,메모리 D램,메모리,세부,41.4,71.2
2018-06-01,2018-06,메모리 MCP,메모리,세부,17.6,-10.3
2018-06-01,2018-06,메모리 낸드,메모리,세부,7.0,126.8
2018-06-01,2018-06,반도체,반도체 합계,합계,111.6,38.9
2018-06-01,2018-06,시스템 반도체,시스템반도체,대분류,21.1,3.2
2018-07-01,2018-07,개별소자,개별소자,대분류,5.4,23.0
2018-07-01,2018-07,디스플레이 패널,디스플레이,별도,22.5,2.4
2018-07-01,2018-07,메모리,메모리,대분류,75.3,45.1
2018-07-01,2018-07,메모리 D램,메모리,세부,38.7,52.3
2018-07-01,2018-07,메모리 MCP,메모리,세부,13.4,-20.1
2018-07-01,2018-07,메모리 낸드,메모리,세부,5.7,54.9
2018-07-01,2018-07,반도체,반도체 합계,합계,103.8,31.6
2018-07-01,2018-07,시스템 반도체,시스템반도체,대분류,23.1,2.2
2018-08-01,2018-08,개별소자,개별소자,대분류,5.5,16.2
2018-08-01,2018-08,디스플레이 패널,디스플레이,별도,26.7,4.2
2018-08-01,2018-08,메모리,메모리,대분류,86.0,42.6
2018-08-01,2018-08,메모리 D램,메모리,세부,41.3,51.8
2018-08-01,2018-08,메모리 MCP,메모리,세부,18.2,-6.5
2018-08-01,2018-08,메모리 낸드,메모리,세부,6.0,16.8
2018-08-01,2018-08,반도체,반도체 합계,합계,115.1,31.4
2018-08-01,2018-08,시스템 반도체,시스템반도체,대분류,23.7,5.4
2018-09-01,2018-09,개별소자,개별소자,대분류,5.2,1.6
2018-09-01,2018-09,디스플레이 패널,디스플레이,별도,22.8,-12.1
2018-09-01,2018-09,메모리,메모리,대분류,96.2,44.5
2018-09-01,2018-09,메모리 D램,메모리,세부,44.9,54.3
2018-09-01,2018-09,메모리 MCP,메모리,세부,20.1,-18.9
2018-09-01,2018-09,메모리 낸드,메모리,세부,7.4,29.7
2018-09-01,2018-09,반도체,반도체 합계,합계,124.3,28.2
2018-09-01,2018-09,시스템 반도체,시스템반도체,대분류,22.9,-9.3
2018-10-01,2018-10,개별소자,개별소자,대분류,5.2,20.2
2018-10-01,2018-10,디스플레이 패널,디스플레이,별도,22.9,-7.9
